	sentence	masked_sen	label
415	All this exercise and sweating has dehydrated me.	All this exercise and sweating has [MASK] me.	0
416	"""In the desert, you get dehydrated very quickly."""	"""In the desert, you get [MASK] very quickly."""	0
417	The victim's family is demanding compensation	The victim's family is [MASK] compensation	0
418	The bank demanded payment of the loan	The bank [MASK] payment of the loan	0
419	I demand an explanation	I [MASK] an explanation	0
420	Her smile denoted that she agreed	Her smile [MASK] that she agreed	0
421	`multi-' denotes `many' 	`multi-' [MASK] `many' 	0
422	She denoted her feelings clearly	She [MASK] her feelings clearly	0
423	These news depressed her	These news [MASK] her	0
424	The glut of oil depressed gas prices	The glut of oil [MASK] gas prices	1
425	The lack of rain had depressed the water level in the reservoir	The lack of rain had [MASK] the water level in the reservoir	1
426	The rising inflation depressed the economy	The rising inflation [MASK] the economy	0
427	The mother deserted her children	The mother [MASK] her children	0
428	"""If soldiers deserted Hitler's army, they were shot"""	"""If soldiers [MASK] Hitler's army, they were shot"""	0
429	the students deserted the campus after the end of exam period	the students [MASK] the campus after the end of exam period	0
430	This room is not designed for work.	This room is not [MASK] for work.	0
431	Chanel designed the famous suit.	Chanel [MASK] the famous suit.	0
432	It is difficult to design a better mousetrap.	It is difficult to [MASK] a better mousetrap.	0
433	Dupont designs for the house of Chanel.	Dupont [MASK] for the house of Chanel.	0
434	She designed a good excuse for not attending classes that day.	She [MASK] a good excuse for not attending classes that day.	1
435	She designed to go far in the world of business.	She [MASK] to go far in the world of business.	0
436	Fire had devoured our home	Fire had [MASK] our home	1
437	She devoured his novels	She [MASK] his novels	1
438	he devoured three sandwiches	he [MASK] three sandwiches	0
439	I cannot digest milk products	I cannot [MASK] milk products	0
440	I cannot digest all this information	I cannot [MASK] all this information	1
441	Protein digests in a few hours	Protein [MASK] in a few hours	0
442	the government digested the entire law into a code	the government [MASK] the entire law into a code	1
443	The painting discolored.	The painting [MASK].	0
444	The detergent discolored my shirts.	The detergent [MASK] my shirts.	0
445	The shirts discolored.	The shirts [MASK].	0
446	She dismissed his advances	She [MASK] his advances	0
447	This case is dismissed!	This case is [MASK]	0
448	I was dismissed after I gave my report	I was [MASK] after I gave my report	0
449	The acid distills at a specific temperature	The acid [MASK] at a specific temperature	0
450	distill the essence of this compound	[MASK] the essence of this compound	0
451	The doctor distilled a few drops of disinfectant onto the wound	The doctor [MASK] a few drops of disinfectant onto the wound	0
452	distill the essence of this compound	[MASK] the essence of this compound	0
453	The acid distills at a specific temperature	The acid [MASK] at a specific temperature	0
454	The doctor distilled a few drops of disinfectant onto the wound	The doctor [MASK] a few drops of disinfectant onto the wound	0
455	divide the cake into three equal parts	[MASK] the cake into three equal parts	0
456	Can you divide 49 by seven?	Can you [MASK] 49 by seven?	0
457	The mountain range divides the two countries	The mountain range [MASK] the two countries	0
458	The population doubled within 50 years	The population [MASK] within 50 years	0
459	He doubled and vomited violently	He [MASK] and vomited violently	0
460	She doubles as his wife and secretary	She [MASK] as his wife and secretary	0
461	He downed three martinis before dinner.	He [MASK] three martinis before dinner.	1
462	Some people can down a pound of meat in the course of one meal.	Some people can [MASK] a pound of meat in the course of one meal.	1
463	The policeman downed the heavily armed suspect.	The policeman [MASK] the heavily armed suspect.	1
464	Three secretaries were downsized during the financial crisis.	Three secretaries were [MASK] during the financial crisis.	1
465	The car makers downsized the SUVs when fuel became very expensive.	The car makers [MASK] the SUVs when fuel became very expensive.	1
466	The company downsized its research staff.	The company [MASK] its research staff.	0
467	The rain water drains into this big vat.	The rain water [MASK] into this big vat.	0
468	The exercise class drains me of energy.	The exercise class [MASK] me of energy.	1
469	We drained the oil tank.	We [MASK] the oil tank.	0
470	Life in the camp drained him.	Life in the camp [MASK] him.	1
471	snow drifting several feet high	snow [MASK] several feet high	0
472	stock prices are drifting higher	stock prices are [MASK] higher	1
473	My son drifted around for years in California before going to law school	My son [MASK] around for years in California before going to law school	1
474	The unknown young man drifted among the invited guests	The unknown young man [MASK] among the invited guests	1
475	drift the boats downstream	[MASK] the boats downstream	0
476	drift the cattle herds westwards	[MASK] the cattle herds westwards	0
477	The stock market drifted upward	The stock market [MASK] upward	1
478	The patient must drink several liters each day	The patient must [MASK] several liters each day	0
479	We were up drinking all night	We were up [MASK] all night	0
480	The mother drinks in every word of her son on the stage	The mother [MASK] in every word of her son on the stage	1
481	The husband drinks and beats his wife	The husband [MASK] and beats his wife	0
482	I was drowned in work	I was [MASK] in work	1
483	She drowned her trouble in alcohol	She [MASK] her trouble in alcohol	1
484	The child drowned in the lake	The child [MASK] in the lake	0
485	He drowned the kittens	He [MASK] the kittens	0
486	Age had dulled the surface	Age had [MASK] the surface	0
487	the varnished table top dulled with time	the varnished table top [MASK] with time	0
488	Too much cutting dulls the knife's edge	Too much cutting [MASK] the knife's edge	0
489	Middle age dulled her appetite for travel	Middle age [MASK] her appetite for travel	1
490	No dumping in these woods!	No [MASK] in these woods!	0
491	The company dumped him after many years of service	The company [MASK] him after many years of service	1
492	The truck dumped the garbage in the street	The truck [MASK] the garbage in the street	0
493	He eased himself into the chair	He [MASK] himself into the chair	0
494	ease the pain in your legs	[MASK] the pain in your legs	0
495	The news eased my conscience	The news [MASK] my conscience	0
496	She was eating a banana	She was [MASK] a banana	0
497	We did not eat until 10 P.M. because there were so many phone calls	We did not [MASK] until 10 P.M. because there were so many phone calls	0
498	This dog doesn't eat certain kinds of meat	This dog doesn't [MASK] certain kinds of meat	0
499	"""Suddenly, the proprietor emerged from his office"""	"""Suddenly, the proprietor [MASK] from his office"""	0
500	Some nice results emerged from the study	Some nice results [MASK] from the study	1
501	He felt new emotions emerge	He felt new emotions [MASK]	0
502	She ended their friendship when she found out that he had once been convicted of a crime.	She [MASK] their friendship when she found out that he had once been convicted of a crime.	0
503	This sad scene ended the movie.	This sad scene [MASK] the movie.	0
504	The terrible news ended our hopes that he had survived.	The terrible news [MASK] our hopes that he had survived.	0
505	engraved the trophy cupt with the winner's	[MASK] the trophy cupt with the winner's	0
506	The event engraved itself into her memory	The event [MASK] itself into her memory	1
507	engrave the pen with the owner's name	[MASK] the pen with the owner's name	0
508	The Turks erased the Armenians in 1915	The Turks [MASK] the Armenians in 1915	1
509	Please erase the formula on the blackboard--it is wrong!	Please [MASK] the formula on the blackboard--it is wrong!	0
510	Who erased the files form my hard disk?	Who [MASK] the files form my hard disk?	0
511	Unrest erupted in the country	Unrest [MASK] in the country	1
512	The tooth erupted and had to be extracted	The tooth [MASK] and had to be extracted	1
513	Vesuvius erupts once in a while	Vesuvius [MASK] once in a while	0
514	A rash erupted on her arms after she had touched the exotic plant	A rash [MASK] on her arms after she had touched the exotic plant	1
515	The convicted murderer escaped from a high security prison	The convicted murderer [MASK] from a high security prison	0
516	We escaped to our summer house for a few days	We [MASK] to our summer house for a few days	1
517	Gas escaped into the bedroom	Gas [MASK] into the bedroom	0
518	Schliemann excavated Troy.	Schliemann [MASK] Troy.	0
519	Carnegie had a lake excavated for Princeton University's rowing team.	Carnegie had a lake [MASK] for Princeton University's rowing team.	0
520	The mining company wants to excavate the hillside.	The mining company wants to [MASK] the hillside.	0
521	The bad results were excluded from the report	The bad results were [MASK] from the report	0
522	The cost for the trip excludes food and beverages	The cost for the trip [MASK] food and beverages	0
523	The unruly student was excluded from the game	The unruly student was [MASK] from the game	0
524	Please excuse my dirty hands	Please [MASK] my dirty hands	0
525	Please excuse me from this class	Please [MASK] me from this class	0
526	Your need to sleep late does not excuse your late arrival at work	Your need to sleep late does not [MASK] your late arrival at work	0
527	excuse someone's behavior	[MASK] someone's behavior	0
528	"""In some states, criminals are executed"""	"""In some states, criminals are [MASK]"""	0
529	The Mafioso who collaborated with the police was executed	The Mafioso who collaborated with the police was [MASK]	0
530	execute the decision of the people	[MASK] the decision of the people	0
531	execute a will or a deed	[MASK] a will or a deed	0
532	The President executed the treaty	The President [MASK] the treaty	0
533	This kind of work exhausts me.	This kind of work [MASK] me.	0
534	One should not exhaust one's savings.	One should not [MASK] one's savings.	1
535	We have exhausted the food supplies.	We have [MASK] the food supplies.	1
536	The meteorologists are expecting rain for tomorrow	The meteorologists are [MASK] rain for tomorrow	0
537	We were expecting a visit from our relatives	We were [MASK] a visit from our relatives	0
538	I'm expecting a full explanation as to why these files were destroyed	I'm [MASK] a full explanation as to why these files were destroyed	0
539	She is expecting in March	She is [MASK] in March	0
540	We exploded the nuclear bomb	We [MASK] the nuclear bomb	0
541	The champagne bottle exploded	The champagne bottle [MASK]	0
542	The boss exploded when he heard of the resignation of the secretary	The boss [MASK] when he heard of the resignation of the secretary	1
543	The enemy exploded the bridge	The enemy [MASK] the bridge	0
544	He exploit the new taxation system	He [MASK] the new taxation system	0
545	we must exploit the resources we are given wisely	we must [MASK] the resources we are given wisely	0
546	he is exploiting the students	he is [MASK] the students	0
547	Can you express this distance in kilometers?	Can you [MASK] this distance in kilometers?	0
548	Many of the laboratory animals express the trait.	Many of the laboratory animals [MASK] the trait.	1
549	Italians express coffee rather than filter it.	Italians [MASK] coffee rather than filter it.	0
550	She expressed the letter to Florida.	She [MASK] the letter to Florida.	0
551	The two sofas face each other.	The two sofas [MASK] each other.	0
552	Turn and face your partner now.	Turn and [MASK] your partner now.	1
553	A glossy material faced the lapels of the jacket.	A glossy material [MASK] the lapels of the jacket.	1
554	The building was faced with beautiful stones.	The building was [MASK] with beautiful stones.	1
555	a quantum computer can factor the number 15	a quantum computer can [MASK] the number 15	0
556	make things factor into a company's profitability	make things [MASK] into a company's profitability	0
557	You must factor in the recent developments	You must [MASK] in the recent developments	0
558	He fastened the lock onto the door.	He [MASK] the lock onto the door.	0
559	This dress fastens in the back.	This dress [MASK] in the back.	0
560	They fastened various nicknames to each other.	They [MASK] various nicknames to each other.	1
561	I fear she might get aggressive	I [MASK] she might get aggressive	0
562	I fear the winters in Moscow	I [MASK] the winters in Moscow	0
563	I fear I won't make it to your wedding party	I [MASK] I won't make it to your wedding party	0
564	I fear the results of the final exams	I [MASK] the results of the final exams	0
565	The Middle East is fermenting	The Middle East is [MASK]	1
566	Islam is fermenting Africa	Islam is [MASK] Africa	1
567	We ferment the grapes for a very long time to achieve high alcohol content	We [MASK] the grapes for a very long time to achieve high alcohol content	0
568	fill the child with pride	[MASK] the child with pride	1
569	The pool slowly filled with water	The pool slowly [MASK] with water	0
570	The liquid fills the container	The liquid [MASK] the container	0
571	He filled up on turkey	He [MASK] up on turkey	0
572	He finished the dishes	He [MASK] the dishes	0
573	The carpenter finished the table beautifully	The carpenter [MASK] the table beautifully	0
574	That finished me with Mary	That [MASK] me with Mary	0
575	The boss fired his secretary today	The boss [MASK] his secretary today	0
576	The soldiers were fired	The soldiers were [MASK]	0
577	Oil fires the furnace	Oil [MASK] the furnace	0
578	This piece won't fit into the puzzle	This piece won't [MASK] into the puzzle	0
579	He fitted other pieces of paper to his cut-out	He [MASK] other pieces of paper to his cut-out	0
580	Can you fit the toy into the box?	Can you [MASK] the toy into the box?	0
581	How does this shirt fit?	How does this shirt [MASK]	0
582	flags flapped in the strong wind	flags [MASK] in the strong wind	0
583	The bird flapped its wings	The bird [MASK] its wings	0
584	The bird's wings were flapping	The bird's wings were [MASK]	0
585	Every star seemed to flare with new intensity.	Every star seemed to [MASK] with new intensity.	1
586	The bellbottom pants flare out.	The bellbottom pants [MASK] out.	0
587	The night sky flared with the massive bombardment.	The night sky [MASK] with the massive bombardment.	1
588	The lights were flashing	The lights were [MASK]	0
589	The headlines flashed on the screen	The headlines [MASK] on the screen	0
590	The latest intelligence is flashed to all command posts	The latest intelligence is [MASK] to all command posts	1
591	he flashed a $100 bill	he [MASK] a $100 bill	1
592	A shooting star flashed and was gone	A shooting star [MASK] and was gone	0
593	The lights flicked on and off.	The lights [MASK] on and off.	0
594	He flicked a piece of paper across the table.	He [MASK] a piece of paper across the table.	0
595	The father flicked him with his hand.	The father [MASK] him with his hand.	1
596	He floated the logs down the river	He [MASK] the logs down the river	0
597	The Republicans are floating the idea of a tax reform	The Republicans are [MASK] the idea of a tax reform	1
598	The dancer floated across the stage	The dancer [MASK] across the stage	1
599	The government floated the ruble for a few months	The government [MASK] the ruble for a few months	1
600	The swollen river flooded the village	The swollen river [MASK] the village	0
601	flood the market with tennis shoes	[MASK] the market with tennis shoes	1
602	Our basement flooded during the heavy rains	Our basement [MASK] during the heavy rains	0
603	The crowd flowed out of the stadium	The crowd [MASK] out of the stadium	1
604	Water flowed into the cave	Water [MASK] into the cave	0
605	The artist flowed the washes on the paper	The artist [MASK] the washes on the paper	1
606	The champagne flowed at the wedding	The champagne [MASK] at the wedding	1
607	The garbage flushed down the river	The garbage [MASK] down the river	0
608	the sky flushed with rosy splendor	the sky [MASK] with rosy splendor	1
609	flush the wound with antibiotics	[MASK] the wound with antibiotics	1
610	social groups form everywhere	social groups [MASK] everywhere	0
611	This wall forms the background of the stage setting	This wall [MASK] the background of the stage setting	1
612	form the young child's character	[MASK] the young child's character	1
613	the water formed little beads	the water [MASK] little beads	0
614	This writer really fractures the language.	This writer really [MASK] the language.	1
615	These events could fracture the balance of power.	These events could [MASK] the balance of power.	1
616	The pothole fractured a bolt on the axle.	The pothole [MASK] a bolt on the axle.	0
617	The tibia fractured from the blow of the iron pipe.	The tibia [MASK] from the blow of the iron pipe.	0
618	"""fuel aircraft, ships, and cars"""	"""[MASK] aircraft, ships, and cars"""	0
619	The tanker fueled in Bahrain	The tanker [MASK] in Bahrain	0
620	fuel the debate on creationism	[MASK] the debate on creationism	1
621	The press was gagged	The press was [MASK]	1
622	The burglars gagged the home owner and tied him to a chair	The burglars [MASK] the home owner and tied him to a chair	0
623	The students were gagging during dinner	The students were [MASK] during dinner	0
624	he swallowed a fishbone and gagged	he swallowed a fishbone and [MASK]	0
625	The home team was gaining ground	The home team was [MASK] ground	0
626	The stock market gained 24 points today	The stock market [MASK] 24 points today	0
627	the peace movement gained momentum	the peace movement [MASK] momentum	0
628	She gained 20 pounds when she stopped exercising	She [MASK] 20 pounds when she stopped exercising	0
629	He was galloping down the road	He was [MASK] down the road	0
630	The horse was galloping along	The horse was [MASK] along	0
631	Did you gallop the horse just now?	Did you [MASK] the horse just now?	0
632	I gather you have not done your homework.	I [MASK] you have not done your homework.	1
633	She gathered her shawl around her shoulders.	She [MASK] her shawl around her shoulders.	0
634	Our ancestors gathered nuts in the Fall.	Our ancestors [MASK] nuts in the Fall.	0
635	The girl glared at the man who tried to make a pass at her	The girl [MASK] at the man who tried to make a pass at her	0
636	The moon glared back at itself from the lake's surface	The moon [MASK] back at itself from the lake's surface	1
637	The sun glared down on us	The sun [MASK] down on us	1
638	The fireflies were glowing and flying about in the garden	The fireflies were [MASK] and flying about in the garden	0
639	Her face glowed when she came out of the sauna	Her face [MASK] when she came out of the sauna	1
640	The coals were glowing in the dark	The coals were [MASK] in the dark	0
641	Make the people's hearts glow	Make the people's hearts [MASK]	1
642	His belief in God governs his conduct	His belief in God [MASK] his conduct	0
643	Who is governing the country now?	Who is [MASK] the country now?	0
644	most transitive verbs govern the accusative case in German	most transitive verbs [MASK] the accusative case in German	1
645	The passenger grabbed for the oxygen mask	The passenger [MASK] for the oxygen mask	0
646	She grabbed the child's hand and ran out of the room	She [MASK] the child's hand and ran out of the room	0
647	This story will grab you	This story will [MASK] you	1
648	The conversation gravitated towards politics	The conversation [MASK] towards politics	1
649	Boys gravitate towards girls at that age	Boys [MASK] towards girls at that age	0
650	The stars gravitate towards each other	The stars [MASK] towards each other	0
651	grind the spices in a mortar	[MASK] the spices in a mortar	0
652	grind designs into the glass bowl	[MASK] designs into the glass bowl	0
653	grind lenses for glasses and cameras	[MASK] lenses for glasses and cameras	0
654	She groped for her glasses in the darkness of the bedroom	She [MASK] for her glasses in the darkness of the bedroom	0
655	His mind groped to make the connection	His mind [MASK] to make the connection	1
656	He made some sexual advances at the woman in his office and groped her repeatedly	He made some sexual advances at the woman in his office and [MASK] her repeatedly	0
657	The tree trunks had grown together	The tree trunks had [MASK] together	0
658	Corn doesn't grow here	Corn doesn't [MASK] here	0
659	He grows vegetables in his backyard	He [MASK] vegetables in his backyard	0
660	There will be men guarding the horses.	There will be men [MASK] the horses.	0
661	Please guard my possessions while I'm away.	Please [MASK] my possessions while I'm away.	0
662	This vaccine will guard you against infection.	This vaccine will [MASK] you against infection.	1
663	The cooling lava continued to gutter toward lower ground.	The cooling lava continued to [MASK] toward lower ground.	1
664	Tears guttered down her face.	Tears [MASK] down her face.	1
665	The heavy rain guttered the soil.	The heavy rain [MASK] the soil.	1
666	The roofer began to gutter the buildings.	The roofer began to [MASK] the buildings.	0
667	I can't hack it anymore	I can't [MASK] it anymore	1
668	he hacked his way through the forest	he [MASK] his way through the forest	0
669	I'm not very good at hacking but I'll give it my best	I'm not very good at [MASK] but I'll give it my best	0
670	The patient with emphysema is hacking all day	The patient with emphysema is [MASK] all day	0
671	The critics hailed the young pianist as a new Rubinstein	The critics [MASK] the young pianist as a new Rubinstein	0
672	She hails from Kalamazoo	She [MASK] from Kalamazoo	0
673	It hailed for an hour	It [MASK] for an hour	0
674	The colors don't harmonize	The colors don't [MASK]	1
675	harmonize the different interests	[MASK] the different interests	0
676	harmonize one's goals with one's abilities	[MASK] one's goals with one's abilities	1
677	where is she heading	where is she [MASK]	0
678	Who is heading this project?	Who is [MASK] this project?	0
679	The procession was headed by John	The procession was [MASK] by John	1
680	This student heads the class	This student [MASK] the class	1
681	These rivers head from a mountain range in the Himalayas	These rivers [MASK] from a mountain range in the Himalayas	1
682	The list was headed by the name of the president	The list was [MASK] by the name of the president	0
683	The wheat headed early this year	The wheat [MASK] early this year	1
684	He heaped him with work	He [MASK] him with work	1
685	heap firewood around the fireplace	[MASK] firewood around the fireplace	0
686	heap the platter with potatoes	[MASK] the platter with potatoes	0
687	Everyone helped out during the earthquake	Everyone [MASK] out during the earthquake	0
688	These pills will help the patient	These pills will [MASK] the patient	0
689	This will help to prevent accidents	This will [MASK] to prevent accidents	0
690	I can't help myself--I have to smoke	I can't [MASK] myself--I have to smoke	0
691	"""I served him three times, and after that he helped himself"""	"""I served him three times, and after that he [MASK] himself"""	0
692	This money will help the development of literacy in developing countries	This money will [MASK] the development of literacy in developing countries	0
693	She helped herself to some of the office supplies	She [MASK] herself to some of the office supplies	0
694	New slipcovers will help the old living room furniture	New slipcovers will [MASK] the old living room furniture	1
695	Goering often hunted wild boars in Poland	Goering often [MASK] wild boars in Poland	0
696	The hunters traced the deer into the woods	The [MASK] traced the deer into the woods	0
697	They hunted the unwanted immigrants out of the neighborhood	They [MASK] the unwanted immigrants out of the neighborhood	0
698	The oscillator hunts about the correct frequency	The oscillator [MASK] about the correct frequency	1
699	She hunted for her reading glasses but was unable to locate them	She [MASK] for her reading glasses but was unable to locate them	1
700	The King used to hunt these forests	The King used to [MASK] these forests	0
701	This exercise will hurt your back	This exercise will [MASK] your back	0
702	Our business was hurt by the new competition	Our business was [MASK] by the new competition	0
703	She hurt me when she did not include me among her guests	She [MASK] me when she did not include me among her guests	1
704	Were you hurting after the accident?	Were you [MASK] after the accident?	0
705	Great heat can ignite almost any dry matter	Great heat can [MASK] almost any dry matter	0
706	Marsh gases ignited suddenly	Marsh gases [MASK] suddenly	0
707	The ostentatious way of living of the rich ignites the hatred of the poor	The ostentatious way of living of the rich [MASK] the hatred of the poor	1
708	only few plants can immigrate to the island	only few plants can [MASK] to the island	0
709	Britain immigrated many colonists to America	Britain [MASK] many colonists to America	0
710	Many people immigrated at the beginning of the 20th century	Many people [MASK] at the beginning of the 20th century	0
711	This child impressed me as unusually mature	This child [MASK] me as unusually mature	0
712	The young chess player impressed her audience	The young chess player [MASK] her audience	0
713	"""To make a batik, you impress a design with wax"""	"""To make a batik, you [MASK] a design with wax"""	0
714	He inclined his ear to the wise old man	He [MASK] his ear to the wise old man	0
715	She inclined her head to the student	She [MASK] her head to the student	0
716	She inclines to the view that people should be allowed to expres their religious beliefs	She [MASK] to the view that people should be allowed to expres their religious beliefs	1
717	Their language inclines us to believe them	Their language [MASK] us to believe them	1
718	The list includes the names of many famous writers	The list [MASK] the names of many famous writers	0
719	I include you in the list of culprits	I [MASK] you in the list of culprits	0
720	We must include this chemical element in the group	We must [MASK] this chemical element in the group	0
721	These symptoms indicate a serious illness	These symptoms [MASK] a serious illness	0
722	indicated his wishes in a letter	[MASK] his wishes in a letter	0
723	Tetracycline is indicated in such cases	Tetracycline is [MASK] in such cases	0
724	There was a ceremony to induct the president of the Academy.	There was a ceremony to [MASK] the president of the Academy.	0
725	We were inducted into the honor society.	We were [MASK] into the honor society.	0
726	The young geisha was inducted into the ways of her profession.	The young geisha was [MASK] into the ways of her profession.	0
727	Your children have infected you with this head cold	Your children have [MASK] you with this head cold	0
728	society was infected by racism	society was [MASK] by racism	1
729	His laughter infects everyone who is in the same room	His laughter [MASK] everyone who is in the same room	1
730	The charges were inflated	The charges were [MASK]	1
731	The war inflated the economy	The war [MASK] the economy	1
732	inflate the currency	[MASK] the currency	1
733	I informed him of his rights	I [MASK] him of his rights	0
734	The principles that inform modern teaching	The principles that [MASK] modern teaching	0
735	She had informed on her own parents for years	She had [MASK] on her own parents for years	0
736	I inherited a castle from my French grandparents	I [MASK] a castle from my French grandparents	0
737	The new chairman inherited many problems from the previous chair	The new chairman [MASK] many problems from the previous chair	0
738	I inherited my good eyesight from my mother	I [MASK] my good eyesight from my mother	0
739	We injected the glucose into the patient's vein	We [MASK] the glucose into the patient's vein	0
740	He injected new life into the performance	He [MASK] new life into the performance	1
741	inject hydrogen into the balloon	[MASK] hydrogen into the balloon	0
742	We interrupt the program for the following messages	We [MASK] the program for the following messages	0
743	Don't interrupt me when I'm reading	Don't [MASK] me when I'm reading	0
744	Please don't interrupt me while I'm on the phone	Please don't [MASK] me while I'm on the phone	0
745	She interrupted her pregnancy	She [MASK] her pregnancy	1
746	Why did the U.S. not intervene earlier in WW II?	Why did the U.S. not [MASK] earlier in WW II?	0
747	This interludes intervenes between the two movements	This interludes [MASK] between the two movements	1
748	The war intervened between the birth of her two children.	The war [MASK] between the birth of her two children.	1
749	A new word processor was introduced	A new word processor was [MASK]	0
750	introduce exotic fruits	[MASK] exotic fruits	0
751	introduce legislation	[MASK] legislation	0
752	"""Hitler invaded Poland on September 1, 1939"""	"""Hitler [MASK] Poland on September 1, 1939"""	0
753	This new colleague invades my territory	This new colleague [MASK] my territory	0
754	The cancer had invaded her lungs	The cancer had [MASK] her lungs	0
755	Can I invite you for dinner on Sunday night?	Can I [MASK] you for dinner on Sunday night?	0
756	I invited them to a restaurant	I [MASK] them to a restaurant	0
757	We invited the neighbors in for a cup of coffee	We [MASK] the neighbors in for a cup of coffee	0
758	The organizers invite submissions of papers for the conference	The organizers [MASK] submissions of papers for the conference	0
759	Don't involve me in your family affairs!	Don't [MASK] me in your family affairs!	0
760	This decision involves many changes	This decision [MASK] many changes	0
761	Dinner at Joe's always involves at least six courses	Dinner at Joe's always [MASK] at least six courses	0
762	His story completely involved me during the entire afternoon	His story completely [MASK] me during the entire afternoon	0
763	The situation was rather involved	The situation was rather [MASK]	0
764	The driver jammed the brake pedal to the floor	The driver [MASK] the brake pedal to the floor	0
765	the mechanism jammed	the mechanism [MASK]	0
766	the theater was jampacked	the theater was [MASK]	1
767	He joined the Communist Party as a young man	He [MASK] the Communist Party as a young man	0
768	join these two parts so that they fit together	[MASK] these two parts so that they fit together	0
769	She joined him for a drink	She [MASK] him for a drink	0
770	The two roads join here	The two roads [MASK] here	0
771	juggle an account so as to hide a deficit	[MASK] an account so as to hide a deficit	1
772	She had to juggle her job and her children	She had to [MASK] her job and her children	1
773	the player juggled the ball	the player [MASK] the ball	0
774	We were keyed after the locks were changed in the building	We were [MASK] after the locks were changed in the building	1
775	His new Mercedes was keyed last night in the parking lot	His new Mercedes was [MASK] last night in the parking lot	0
776	key one's actions to the voters' prevailing attitude	[MASK] one's actions to the voters' prevailing attitude	1
777	The boy kicked the dog.	The boy [MASK] the dog.	0
778	The gun kicked back into my shoulder.	The gun [MASK] back into my shoulder.	1
779	He kicked the extra point after touchdown.	He [MASK] the extra point after touchdown.	0
780	He kited many checks	He [MASK] many checks	1
781	The businessman kited millions of dollars	The businessman [MASK] millions of dollars	1
782	The pilot kited for a long time over the mountains	The pilot [MASK] for a long time over the mountains	0
783	The bird landed on the highest branch	The bird [MASK] on the highest branch	0
784	the pilot managed to land the airplane safely	the pilot managed to [MASK] the airplane safely	0
785	this may land you in jail	this may [MASK] you in jail	1
786	The drug smugglers landed the heroin on the beach of the island	The drug smugglers [MASK] the heroin on the beach of the island	0
787	He landed several blows on his opponent's head	He [MASK] several blows on his opponent's head	0
788	The ship landed in Pearl Harbor	The ship [MASK] in Pearl Harbor	0
789	the enemy landed several of our aircraft	the enemy [MASK] several of our aircraft	0
790	lay the books on the table	[MASK] the books on the table	0
791	lay the foundation for a new health care plan	[MASK] the foundation for a new health care plan	1
792	This hen doesn't lay	This hen doesn't [MASK]	0
793	lay a responsibility on someone	[MASK] a responsibility on someone	1
794	The news were leaked to the paper	The news were [MASK] to the paper	1
795	The news leaked out despite his secrecy	The news [MASK] out despite his secrecy	1
796	Water leaked out of the can into the backpack	Water [MASK] out of the can into the backpack	0
797	The container leaked gasoline	The container [MASK] gasoline	0
798	She leaned over the banister	She [MASK] over the banister	0
799	He leaned his rifle against the wall	He [MASK] his rifle against the wall	0
800	We can lean on this man	We can [MASK] on this man	1
801	Her presence lends a certain cachet to the company	Her presence [MASK] a certain cachet to the company	0
802	I will lend you my car	I will [MASK] you my car	0
803	This story would lend itself well to serialization on television	This story would [MASK] itself well to serialization on television	1
804	level criticism or charges at somebody	[MASK] criticism or charges at somebody	1
805	The building was levelled	The building was [MASK]	0
806	I have to level with you	I have to [MASK] with you	1
807	The ground levelled off	The ground [MASK] off	0
808	She lied when she told me she was only 29.	She [MASK] when she told me she was only 29.	0
809	The fate of Bosnia lies in the hands of the West.	The fate of Bosnia [MASK] in the hands of the West.	1
810	Lie down on the bed until you feel better.	[MASK] down on the bed until you feel better.	0
811	the conversation lightened me up a bit	the conversation [MASK] me up a bit	1
812	she lightened the load on the tired donkey	she [MASK] the load on the tired donkey	0
813	"""after a glass of wine, he lightened up a bit"""	"""after a glass of wine, he [MASK] up a bit"""	1
814	The room lightened up	The room [MASK] up	0
815	She likes to read Russian novels	She [MASK] to read Russian novels	0
816	How did you like the President's speech last night?	How did you [MASK] the President's speech last night?	0
817	I'd like a beer now!	I'd [MASK] a beer now!	0
818	trees line the riverbank	trees [MASK] the riverbank	0
819	sorrow had lined his face	sorrow had [MASK] his face	1
820	lined books are more enduring	[MASK] books are more enduring	0
821	People lived in Africa millions of years ago	People [MASK] in Africa millions of years ago	0
822	we had to live frugally after the war	we had to [MASK] frugally after the war	0
823	You must accept yourself and others if you really want to live	You must accept yourself and others if you really want to [MASK]	0
824	load the truck with hay	[MASK] the truck with hay	0
825	He loaded his gun carefully	He [MASK] his gun carefully	0
826	load the bags onto the trucks	[MASK] the bags onto the trucks	0
827	Can you locate your cousins in the Midwest?	Can you [MASK] your cousins in the Midwest?	0
828	Our sense of sight enables us to locate objects in space.	Our sense of sight enables us to [MASK] objects in space.	0
829	The company located some of their agents in Los Angeles.	The company [MASK] some of their agents in Los Angeles.	0
830	Lock the bike to the fence!	[MASK] the bike to the fence!	0
831	The therapist noticed that the patient's knees tended to lock in this exercise.	The therapist noticed that the patient's knees tended to [MASK] in this exercise.	0
832	He locked his hands around her neck.	He [MASK] his hands around her neck.	1
833	They were locked in embrace.	They were [MASK] in embrace.	1
834	He was locked in a laughing fit.	He was [MASK] in a laughing fit.	1
835	She locked her jewels in the safe.	She [MASK] her jewels in the safe.	0
836	She looked over the expanse of land	She [MASK] over the expanse of land	0
837	The child looks unhappy	The child [MASK] unhappy	0
